PROGRAMME,MLCOURSE,INFORET,STATS,DB,GENDER,CHOCOLATE,BIRTHDAY,NEIGHBOR,STAND,STRESSLEVEL,MONEY,RAND,SLEEPTIME ,GOODDAY,GOODDAY_2
Econometrics and Data Science,yes,0,mu,ja,male,fat,04/12/1991,4,no,90,50,7,4:00:00 AM,study/assignments are going great,people that I like are attracted to me
MSc CS Big Data Engineering,yes,1,unknown,ja,male,neither,19,0,no,-1,-2147483648,four,11:30:00 PM,\0,\0000
Bioinformatics and Systems Biology,yes,0,mu,ja,female,neither,17/10/1994,0,no,30,10,8,11:45:00 PM,friends,beach
MSc AI Vrije Universiteit,yes,0,mu,ja,male,neither,17-7-1992,0,no,20,0,1,12:30:00 AM,Sleep,Activity
Artificial Intelligence,yes,0,sigma,nee,unknown,slim,24-07-1990,0,unknown,99,"0,2",4,2:00:00 AM,sex,More sex
Finance QRM,no,0,mu,nee,male,neither,04.06.1996,1,no,78,"0,3",6,1:00:00 AM,good news,breakfast
Master Business Analytics,yes,0,mu,ja,male,fat,17-09-1994,0,no,10,5,7,10:30:00 PM,Golf,Football
Econometrics,yes,0,mu,ja,male,neither,20/07/1992,2,no,70,10,7,2:30:00 AM,Good Coffee,Sun
Bioinformatics,yes,0,mu,nee,female,unknown,03.11.1989,1,no,60,25 euro,3,10:00:00 PM,Sun,No python errors
Computational science,no,0,mu,nee,male,I have no idea what you are talking about,03-27-1997,0,no,50,100,10,1:00:00 AM,Movie,Music
Digital Business & Innovation,yes,1,mu,ja,male,fat,09-11-1995,0,no,60,1,10,11:00:00 PM,Beer,Sun
Bioinformatics,yes,0,mu,nee,female,fat,01-08-1997,1,no,5,"0,2",3,10:30:00 PM,sun,food
Bioinformatics,yes,0,mu,nee,male,fat,21/02/1998,0,no,10,1,"4,2",2:00:00 AM,Coffee,Temperature
Business Analytics,yes,0,mu,ja,female,slim,12-01-1998,0,no,32,"0,2",5839235,11:30:00 PM,Good night sleep,clear sky
Masters in Parallel and Distributed Computer Systems,no,1,unknown,ja,male,neither,in January,0,no,20,1%,42,2:00:00 AM,work,lack of work
Artificial Intelligence,yes,unknown,mu,ja,male,neither,6 January,1,no,78,1,7; DROP ALL TABLES;,11:30:00 PM,"<h1>Breaking web forms"" \\ \ / "" ' # ^ \t \n </div>","""'""'""''''""'''/'/""/''/""\t\t\t\n""\'""'""`'"
Quantitative Risk Management (Finance),no,0,mu,nee,male,fat,18-07,0,no,20,1,7,11:30:00 PM,Productive,Sun
Computational Science,no,0,mu,ja,female,neither,02-03-1998,0,no,10,1,6,1:00:00 AM,sunshine,being productive
Information sciences,yes,0,mu,ja,male,neither,18-05-1996,7,no,78,100,897858,4:05:00 AM,good 8 hours sleep,nothing to do
Computational Science,yes,1,mu,nee,male,neither,31/07/96,0,no,45,20,5,11:00:00 PM,Nice weather,No stress
Msc Econometrics,no,0,mu,nee,male,neither,25-06-1995,1,no,10,10,7,12:50:00 AM,breakfast,sun
MSc AI,no,0,mu,nee,male,fat,03-03-1996,3,no,0,2,10,12:00:00 AM,Sunny weather,Having spare time
BA,yes,0,mu,ja,female,fat,27-03,1,no,60,1,8,10:00:00 PM,Good company,Nice weather
business analytics,yes,0,unknown,ja,male,fat,03-04-1995,1,no,83,35,3,12:30:00 AM,food,party
Duisenberg Honours Programme in Quantitative Risk Management,no,0,mu,ja,male,fat,23/05/1996,0,no,70,100,7,1:00:00 AM,Food,Friends
Business Analytics,yes,0,mu,ja,female,slim,13-03-1998,5,yes,50,70,8,12:30:00 AM,Boxing,Seeing friends
BA,yes,0,mu,nee,male,fat,03-03-1994,0,no,70,(1/participents)*total amount given,3,2:00:00 AM,Good coffee,Good weather
BA,yes,0,mu,nee,male,slim,26-06-1997,0,no,43,100,9,10:30:00 PM,Good night of sleep,Weather
AI,yes,1,mu,ja,female,fat,17/04,2,no,85,10,29,2:00:00 AM,sunshine,friends
MSc Artificial Intelligence (VU),no,0,mu,ja,male,neither,20 September,0,yes,10,10 euro de neus,23,11:30:00 PM,A good night's sleep,Fun
Artificial Intelligence Msc,unknown,0,sigma,unknown,female,I have no idea what you are talking about,21-01-1997,0,yes,89,30,78,11:00:00 PM,my friends around me,my family surrounding me
Finance and Technology,yes,0,mu,nee,female,fat,25 April,0,no,40,10,24,2:00:00 AM,sleep-in,nice food
Master of Finance,no,0,mu,nee,male,fat,30-10-1996,0,no,100,5,25,1:00:00 AM,Sunny once I open the curtains,Breakfast burrito or a burrito from Salsa Shop
Artificial Intelligence track on Cognitive Science,yes,0,mu,ja,male,neither,04/03/1994,4,yes,17,43,7,1:30:00 AM,bright sun in a very cold day,playing basketball
MSc . Computer Science - Big Data Engineering,no,0,mu,ja,male,I have no idea what you are talking about,15/07,1,no,-100,1,8,1:00:00 AM,nice breakfast,sunny weather
AI,yes,1,mu,ja,female,neither,22/11/1998,1,no,40,2,3,12:30:00 AM,Enough sleep,Sunshine
econometrics,no,0,sigma,ja,male,slim,1995,3,no,100,50,3,1:00:00 AM,foood,food
CS,no,0,mu,ja,female,I have no idea what you are talking about,08-12,0,no,50,70,7,1:23:00 AM,08-12,08-03
Artificial Intelligence,yes,0,mu,nee,male,neither,October 17,1,no,0,100,17101991,3:00:00 PM,Doing coding for my personal project with Mozart playing in the headphones,Good gym session in the morning
Artificial Intelligence,yes,0,sigma,nee,male,I have no idea what you are talking about,08/06/1995,2,no,12,100,27,10:00:00 PM,Yes,Yes (2)
AI,no,1,mu,nee,male,neither,20/09/1996,0,no,30,"0,5",9,10:00:00 PM,Having plans,Meeting with friends
AI,yes,0,mu,ja,male,neither,22.07.1993,3,no,25,0,13,3:00:00 AM,accomplishing my goals,playing with my dog
Finance & Technology,yes,0,mu,nee,male,fat,06-06-1996,0,no,30,1,7,11:59:00 PM,Being productive,Eating healthy food
quantitative risk management,no,0,sigma,nee,male,fat,6 March,4,no,0,100,6,11:30:00 PM,champions league,football
Computer Science,yes,0,mu,ja,male,unknown,19-12,0,no,20,?,37,1:00:00 AM,?,?
Finance (Quantitative risk management),no,1,mu,ja,female,fat,09-12-1997,0,no,80,85,8,12:00:00 AM,Good weather,schedule with friends
Physics and Astronomy,no,0,mu,ja,female,neither,16-09-1994,1,no,50,0,8,12:30:00 AM,Being outside in sunny weather.,Being productive doing things that interest me.
Computer Science,yes,0,sigma,ja,male,I have no idea what you are talking about,12.07.1989,0,no,65,1 euro,42,11:00:00 PM,Good Food,Nice People around me
Econometrics,yes,0,mu,nee,female,neither,15-09-1997,1,no,30,5,5,11:30:00 PM,Meeting my friends,Nice weather
AI,yes,0,mu,ja,male,neither,----,0,no,10,1,3,11:50:00 PM,Sunshine,Sports
Exchange,yes,0,mu,ja,female,I have no idea what you are talking about,19.3.1993,1,no,50,10,7,12:00:00 AM,no alarm,good weather
Business Analytics,yes,unknown,mu,ja,female,neither,July 22,0,no,20,0,37,11:00:00 PM,People around you,What I have planned that day
BA,yes,1,mu,ja,female,neither,28-05-1998,0,no,25,30,3,10:00:00 PM,sporting,reading a book
Computer Science,no,1,mu,ja,female,unknown,20-08-1997,0,no,90,60,3,1:00:00 AM,Doing my activities as planned,Have enough time to relax and free my mind
BA,yes,0,mu,nee,male,fat,19 June,0,no,30,0,7,12:00:00 AM,Nice Meals,Sport
Computational Science,no,0,mu,nee,female,neither,17-11-1998,0,no,60,250,12345,10:00:00 PM,Nice weather,Being productive
Big Data Engineering,no,1,mu,ja,male,fat,01-09-1994,0,no,10,20,56217895624785142589635562651560666526,11:45:00 PM,Things go according to my schedule,Successful results for my work
AI,no,0,mu,nee,male,fat,28-10-1993,1,no,60,Less,7,1:00:00 AM,Weather,Seeing friends
CS,no,1,mu,ja,male,neither,24.08.1995,0,no,5,10,8,1:30:00 AM,good weather,got money
Master Digital Business & Innovation (SBE),no,0,sigma,nee,male,neither,23/09/1994,1,no,30,20,3,12:20:00 AM,Finished some tasks,Exercise
AI,no,unknown,mu,ja,female,fat,25/04/1996,0,no,15,4,8,11:30:00 PM,Productive/active,Feeling content at the end of the day
Health sciences,yes,1,mu,ja,male,neither,03-04-1996,2,no,0.5,Depends on the amount of participants,7.6,12:45:00 AM,Exercise,Achieved at least one thing I wanted
Human movement science research master,no,0,mu,nee,male,neither,13-03-1997,0,no,40,1,666,11:00:00 PM,company,skating
Computer Science,yes,0,mu,ja,male,fat,15-12-1996,0,no,0,69,7,11:00:00 PM,Sunshine,No quarantine
CS,yes,0,sigma,ja,male,neither,11th of August,0,no,25,0.2,3,10:30:00 PM,A good night's sleep,Breakfast
Masters in Artificial Intelligence,no,0,mu,ja,male,neither,24th Jan 1996,0,no,10,50,141100267,4:14:00 PM,Being Alive for the day,Competing myself from when compared to yesterday
AI,no,0,mu,ja,male,neither,24-01-1996,0,no,0,60,7,11:30:00 PM,Gym,Improving myself
Computational Science,no,0,mu,nee,female,neither,03/08/1996,0,no,12,7,3,11:45:00 PM,Being productive,Have fun with my friends
BA,yes,0,mu,ja,female,fat,27-06-1991,1,no,70,25,8,11:30:00 PM,Sunny weather,Running
Human Language Technology,yes,0,mu,nee,female,neither,25-10,0,no,50,20,8,1:30:00 AM,nice weather,social interaction
Bioinformatics and Systems Biology,yes,0,mu,nee,male,neither,27/02,0,no,75,a fiver,72,12:00:00 AM,Some time off for once,When I can support my hobby
Msc Artificial Intelligence (UvA),yes,1,mu,nee,male,neither,04/March - 1996,0,no,30,40,2,12:40:00 AM,having time for myself,having a clear view of work that needs to be done the coming day(s)
Computational Science,no,1,mu,nee,male,fat,27-06,0,no,20,0,2,11:30:00 PM,Waking up rested,Going out to take photos
AI,no,0,mu,ja,male,neither,12-09-1998,1,no,30,2,2,11:30:00 PM,Alcohol,A good night sleep
Computational Science/AI,yes,1,mu,nee,female,neither,12-07-1994,1,no,30,5,7,11:30:00 PM,sun,seeing friends
BA,yes,1,mu,ja,male,neither,08-01,1,no,20,25,7,1:20:00 AM,Don't get up too late,Sport
Computational Science,yes,0,mu,nee,male,neither,07-02-1996,0,no,60,1,6,11:30:00 PM,Sun,Drumming
Bioinformatics and Systems biology,yes,0,mu,ja,male,neither,11-12-1997,0,no,5,10,2,11:30:00 PM,Spending time with friends,Early morning stroll
CS,no,1,mu,ja,female,fat,19951230,0,no,60,30,7,1:00:00 AM,finish planned work,nice dinner
Finance,yes,0,mu,nee,male,neither,06-10-1996,16,no,50,5,66,11:00:00 PM,Good grade,Holiday
CS,yes,1,sigma,ja,male,fat,22-06-1998,0,no,5,35,3,2:00:00 AM,Nice weather,Going to the gym
Information Sciences (MSC),yes,1,mu,ja,male,fat,12-10-1995,1,no,50,5,5,1:00:00 AM,Meeting my girlfriend,Making money
BA,yes,1,mu,ja,female,fat,19/12/1996,2,no,20,10,8,10:30:00 PM,My mood,The people I'm spending my day with
Digital Business & Innovation,yes,0,sigma,nee,male,fat,14-04-1995,0,no,55,€ 21.00,5,12:30:00 AM,Ajax winning a match,A productive day at uni/work
Bioinformatics and systems biology master,yes,1,mu,ja,female,neither,27-03-1998,0,no,60,50,6,10:00:00 PM,Going outside,When I have nothing to do
Artificial intelligence,yes,unknown,mu,ja,female,neither,03-04-1996,0,yes,20,10,3,11:30:00 PM,Sports,Chocolate
Master Artificial Intelligence,yes,1,mu,ja,female,I have no idea what you are talking about,February 2nd,1,no,68,all the money you have,8,12:00:00 AM,Sun,Sunday
Artificial Intelligence (UvA),yes,1,mu,ja,female,I have no idea what you are talking about,28-10-1997,1,no,75,amount of money / number of people,5,12:30:00 AM,puppies,-
BA,yes,1,mu,ja,male,neither,25-07-94,0,no,30,equally divided,7,11:00:00 PM,Early wakeup,Gym
AI,yes,1,mu,ja,male,fat,18-07-1998,1,no,60,"0,2",42,12:00:00 AM,"A good start. (breakfast, coffee)",A purpose
Computational Science (joint UvA/VU),yes,0,mu,nee,female,fat,"2,403",0,no,30,30,38,12:00:00 AM,Dogs,A cup of latte
MSc,yes,0,mu,ja,female,fat,1986,2,no,80,60,6,6:00:00 AM,Sun,warm wheather
Bioinformatics and Systems Biology,no,0,mu,ja,female,neither,24-12-1994,0,yes,60,0.20 euro,6,10:31:00 PM,lauging,being outside
Bioinformatics,yes,0,mu,nee,female,fat,11-12-1997,0,no,85,80,2,11:00:00 PM,Sun,Exercise
Computational Science,yes,0,mu,unknown,male,neither,09-11-1994,0,no,30,99,10,12:01:00 AM,Sun,Money
AI UVA,yes,1,mu,unknown,male,neither,26/1/1993,1,no,23,i deserve the dopamine that ill get solving the assignments. I dont want to use money as a metric. If you really need a number have the number 29.,"1,618",5:00:00 AM,learned a new thing and how it works,fact that its a new day
Msc Artificial Intelligence,no,0,mu,nee,female,fat,19-02-1997,zero,no,67,0,7,11:30:00 PM,sun,friends
Business Analytics,yes,0,mu,ja,female,slim,15-08,1,no,25,Everyone 1 euro,4,1:30:00 AM,Friends,Food
Computational Science,yes,1,mu,nee,male,fat,21-12-1996,1,no,5,25,4,1:00:00 AM,Work-out.,Achieved a pre-set goal.
computational science,yes,0,unknown,nee,male,fat,10-11-1993,0,no,-1,100,69,11:30:00 PM,gaming,bitches
Digital Business and Innovation,no,0,unknown,nee,male,fat,21-12-1994,0,no,80,99,1234,11:30:00 PM,no corona,Data mining
Computer Science,yes,1,mu,ja,male,fat,03-04-1998,0,no,20,"0,1",472,12:00:00 AM,Nice weather,no stress
Bioinformatics,yes,0,unknown,nee,male,fat,23-02-1996,0,no,81,26,69,10:30:00 PM,enough sleep,beer
CS,no,1,sigma,ja,male,I have no idea what you are talking about,12.10.1997,1,yes,0,100,5,11:00:00 PM,Payday,No corona
Econometrics and Operations Research,yes,0,mu,nee,female,neither,15-01-1992,1,no,35,1,6,11:30:00 PM,Being outside in the sun,Doing meaningful things
Computational Science,no,0,mu,nee,female,fat,22/11,700,unknown,43,1E+12,4,5:00:00 AM,talk with my friends and family,complete what I have in the program
Econometrics and data science,no,0,mu,nee,female,neither,19-11,0,no,50,20,3,11:00:00 PM,Sunshine,Nice dinner
Information studies: Data Science track at UVA,yes,0,sigma,nee,female,neither,12-07-1995,1,no,73,100,7,1:03:00 AM,Temperature,When my boyfriend cleans something in the house without me asking
Artificial Intelligence,no,0,mu,nee,female,fat,10-11-1995,1,no,30,20,3,10:30:00 PM,Sun,Friends
Bioinformatics and Systems Biology,yes,0,mu,nee,male,neither,09-02-1995,0,no,15,100/n,9,11:30:00 PM,Fun (outdoor) activities,Wheather
M.Sc. Artificial Intelligence,no,0,mu,ja,male,neither,11/05/1993,4,no,70,100 euros + 10 more euros for good luck.,63,11:30:00 PM,When I hit all the green lights while driving.,Something sudden and fascinating happens.
Bioinformatics and Systems Biology,yes,0,mu,nee,male,fat,16-12-1996,0,no,60,"0,2",1279,2:30:00 AM,Sunny day,Productive but with time to relax
Bioinformatics and Systems Biology,yes,0,mu,nee,female,neither,12-02-1994,0,no,45,10,7,10:30:00 PM,Sun shine,Day off
Bioinformatics,yes,0,mu,ja,male,fat,24-09-1997,0,no,33,1000,5,11:00:00 PM,Food,Sleep
Information Studies (track: Information Systems),no,1,mu,ja,male,fat,August 13,2,no,20,0,10,12:00:00 AM,A day spend with football,A day where I laugh almost 24 hours straight
medical informatics,yes,0,mu,ja,female,fat,08/07/1996,0,no,60,1,1,12:00:00 AM,go out,dancing
Research Master Human Language Technology,yes,unknown,mu,unknown,female,neither,19-11-1998,0,no,32,100,19,12:30:00 AM,Having good food,Hanging out with friends
econometrics and operation research,yes,0,mu,nee,female,fat,805,0,no,40,20,9,3:30:00 AM,good food,finish my schedule
EOR,yes,1,mu,ja,female,fat,05-05-1995,0,no,30,10,5,1:30:00 AM,Sunshine,Friends
Computational Science,yes,0,mu,nee,male,fat,16/02/1996,0,no,20,5,4,1:00:00 AM,Nice weather,Chilling out
BA,yes,0,mu,ja,male,slim,09-08-1998,0,no,50,5,9,12:00:00 AM,Free day,Sunny
Master Computational Science,yes,0,mu,ja,male,neither,30-06-1995,0,no,30,7,2,3:00:00 AM,Drinks on Friday,Good weather
Physics and Astronomy: GRAPPA,yes,1,mu,ja,male,I have no idea what you are talking about,5th of June,4,no,50,100/#students,nine,1:30:00 AM,Meet Goals,Good food
Human Language Technologies (Humanities Research),yes,unknown,unknown,nee,female,fat,22-09-1997,2,no,35,5,56,12:00:00 AM,Sunshine,Going outside
MSc Computational Science,yes,0,mu,nee,male,fat,22-08-1996,0,no,20,5,9,11:00:00 PM,good food,No qurantine
Computational Science,no,0,mu,nee,male,neither,11-12-1994,0,no,69,69,"42,069",1:00:00 AM,being productive and sharp,having fun with friends and drinks but now quarantines so sads...
BA,yes,0,mu,ja,male,fat,April 3,1,unknown,80,?,57,2:30:00 AM,Not being in semi-lockdown,The feeling to have made progress
Artificial Intelligence,yes,1,mu,ja,male,fat,06-07-1997,0,no,37,100,a random number,12:00:00 AM,No lectures tbh,Still no lectures
Bioinformatics,yes,1,mu,nee,male,neither,14-03-1995,0,no,40,5,3,11:00:00 PM,Sport,Social interaction
MSc Econometrics,yes,0,mu,nee,male,neither,24-09-1997,0,no,30,1/470,1,1:00:00 AM,Productivity,Family
Computational Science,yes,1,sigma,nee,male,slim,24-02-1997,1,no,5,1,3,12:00:00 AM,Grapefruits,Other juicy stuff
MSc Bioinformatics,yes,0,sigma,nee,female,neither,10/07/1997,1,no,60,10,7,1:00:00 AM,Sun,People
Artificial Intelligence and Cognitive Science,unknown,0,mu,ja,unknown,neither,13-06-1993,0 - I'm Quarantining :(,no,10,6,13,3:00:00 AM,other people,dancing
AI,yes,0,mu,ja,female,neither,26-09-1997,0,no,67,0,314,2:45:00 AM,Getting some exercise,Laugh with friends
Bioinformatics and Systems Biology,yes,0,sigma,nee,female,slim,10 October,0,no,0,70,3,2:00:00 AM,Nice people,Sports
Computational science,no,0,mu,nee,male,fat,28-06-1995,1,unknown,14,8,9,1:00:00 AM,Enough food,Nice people around me
Master Artificial Intelligence,yes,0,mu,ja,male,I have no idea what you are talking about,15-11,0,no,50,0,22,3:00:00 AM,A good night's rest,Nice weather
Business analytics,yes,1,mu,ja,male,I have no idea what you are talking about,25/10/1993,0,no,75,💯,454,2:00:00 AM,Good company,Good food
Computer Science,yes,0,mu,nee,female,I have no idea what you are talking about,March 15,0,no,65,1 euro,4,2:30:00 AM,nice interactions with people,good food
Econometrics,yes,0,mu,nee,female,fat,03-01-1997,0,no,30,50,99,10:00:00 PM,Good food,Good company
AI,yes,0,mu,ja,male,fat,19960629,0,no,76,5,88,12:02:00 PM,sunshine,less wind
MSc Datascience UVA,yes,0,sigma,nee,male,unknown,12-02-1975,2,yes,35,50,8,2:00:00 AM,Sunshine,Temp higher than 20C
Artificial Intelligence,yes,0,mu,ja,male,neither,5 April,2,no,95,1,726,3:00:00 AM,Good food,Learning something useful
AI,unknown,0,mu,nee,male,unknown,23/11/96,0,no,65,100/participants - 10%,0,4:00:00 AM,Being productive,playing video games or reading a book
business analytics,yes,0,mu,ja,female,fat,02/12/1994,0,no,40,30,7,1:00:00 PM,a nice chat with friends,good meal
AI,yes,1,mu,ja,male,fat,18-11,0,no,70,80,788,2:00:00 AM,Good weather,If I can still buy enough food
MSc Computational Science,no,0,mu,nee,female,fat,20/02/1997,0,no,50,1,7,7:00:00 AM,Socialising,No stress
